ID;Categories;Name;Attribute 1 name;Attribute 1 value(s);Attribute 2 name;Attribute 2 value(s);Regular price;Attribute 3 name;Attribute 3 value(s);Attribute 4 name;Attribute 4 value(s);Attribute 5 name;Attribute 5 value(s);Attribute 6 name;Attribute 6 value(s);Attribute 7 name;Attribute 7 value(s);Description
1;Samsung;Galaxy S24 Ultra;Constructeur;Samsung;OS;Android 14;1399;Écran;6.8'' OLED 120Hz;Processeur;Snapdragon;RAM;12Go RAM; Stockage;256Go stockage;Batterie;5000mAh;Le Samsung Galaxy S24 Ultra est un smartphone Samsung fonctionnant sous Android 14, proposé à environ CHF 1399. Il dispose d'un écran 6.8'' OLED 120Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
2;Apple;iPhone 16 Pro Max;Constructeur;Apple;OS;iOS 18;1499;Écran;6.7'' OLED 120Hz;Processeur;A18 Bionic;RAM;6Go RAM; Stockage;128Go stockage;Batterie;4352mAh;Le Apple iPhone 16 Pro Max est un smartphone Apple fonctionnant sous iOS 18, proposé à environ CHF 1499. Il dispose d'un écran 6.7'' OLED 120Hz, alimenté par un processeur A18 Bionic, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4352mAh assure une autonomie prolongée.
3;Google;Pixel 9 Pro XL;Constructeur;Google;OS;Android 14;1199;Écran;6.8'' OLED 120Hz;Processeur;Tensor G4;RAM;16Go RAM; Stockage;512Go stockage;Batterie;5060mAh;Le Google Pixel 9 Pro XL est un smartphone Google fonctionnant sous Android 14, proposé à environ CHF 1199. Il dispose d'un écran 6.8'' OLED 120Hz, alimenté par un processeur Tensor G4, avec 16Go RAM de mémoire vive et 512Go stockage de stockage interne. Sa batterie de 5060mAh assure une autonomie prolongée.
4;Xiaomi;14 Ultra;Constructeur;Xiaomi;OS;Android 14;1099;Écran;6.81'' AMOLED 120Hz;Processeur;Snapdragon;RAM;12Go RAM; Stockage;256Go stockage;Batterie;5000mAh;Le Xiaomi 14 Ultra est un smartphone Xiaomi fonctionnant sous Android 14, proposé à environ CHF 1099. Il dispose d'un écran 6.81'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
5;Caterpillar;Cat S75;Constructeur;Caterpillar;OS;Android 12;599;Écran;6.6'' FHD+ LCD 120Hz;Processeur;MediaTek Dimensity 930;RAM;6 Go; Stockage;128 Go;Batterie;5000 mAh;Le Caterpillar Cat S75 est un smartphone ultra-résistant fonctionnant sous Android 12, proposé à environ CHF 599. Il dispose d’un écran 6.6'' FHD+ LCD 120Hz, alimenté par un processeur MediaTek Dimensity 930 avec 6 Go de RAM et 128 Go de stockage. Sa batterie de 5000 mAh lui permet de tenir facilement plusieurs jours même en conditions extrêmes. Conçu pour les environnements hostiles, il est certifié IP68, IP69K et MIL-STD-810H.
6;Huawei;Pura 70 Ultra;Constructeur;Huawei;OS;EMUI 14.2;1099;Écran;6.8'' OLED 120Hz;Processeur;Kirin 9010;RAM;12Go RAM; Stockage;512Go stockage;Batterie;5200mAh;Le Huawei Pura 70 Ultra est un smartphone Huawei fonctionnant sous EMUI 14.2, proposé à environ CHF 1099. Il dispose d'un écran 6.8'' OLED 120Hz, alimenté par un processeur Kirin 9010, avec 12Go RAM de mémoire vive et 512Go stockage de stockage interne. Sa batterie de 5200mAh assure une autonomie prolongée.
7;HONOR;Magic6 Pro;Constructeur;HONOR;OS;Android 14;999;Écran;6.8'' OLED 120Hz;Processeur;Snapdragon;RAM;12Go RAM; Stockage;256Go stockage;Batterie;5000mAh;Le HONOR Magic6 Pro est un smartphone HONOR fonctionnant sous Android 14, proposé à environ CHF 999. Il dispose d'un écran 6.8'' OLED 120Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
8;Samsung;Galaxy Z Fold6;Constructeur;Samsung;OS;Android 14;1799;Écran;7.6'' AMOLED 120Hz;Processeur;Snapdragon;RAM;12Go RAM; Stockage;256Go stockage;Batterie;4500mAh;Le Samsung Galaxy Z Fold6 est un smartphone Samsung fonctionnant sous Android 14, proposé à environ CHF 1799. Il dispose d'un écran 7.6'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 4500mAh assure une autonomie prolongée.
9;Apple;iPhone 15 Pro Max;Constructeur;Apple;OS;iOS 17;1399;Écran;6.7'' OLED 120Hz;Processeur;A17 Bionic;RAM;6Go RAM; Stockage;128Go stockage;Batterie;4352mAh;Le Apple iPhone 15 Pro Max est un smartphone Apple fonctionnant sous iOS 17, proposé à environ CHF 1399. Il dispose d'un écran 6.7'' OLED 120Hz, alimenté par un processeur A17 Bionic, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4352mAh assure une autonomie prolongée.
10;Google;Pixel 8 Pro;Constructeur;Google;OS;Android 13;999;Écran;6.7'' OLED 120Hz;Processeur;Tensor G3;RAM;12Go RAM; Stockage;128Go stockage;Batterie;5000mAh;Le Google Pixel 8 Pro est un smartphone Google fonctionnant sous Android 13, proposé à environ CHF 999. Il dispose d'un écran 6.7'' OLED 120Hz, alimenté par un processeur Tensor G3, avec 12Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
11;Xiaomi;13T Pro;Constructeur;Xiaomi;OS;Android 13;699;Écran;6.67'' AMOLED 144Hz;Processeur;Dimensity 9200;RAM;12Go RAM; Stockage;256Go stockage;Batterie;5000mAh;Le Xiaomi 13T Pro est un smartphone Xiaomi fonctionnant sous Android 13, proposé à environ CHF 699. Il dispose d'un écran 6.67'' AMOLED 144Hz, alimenté par un processeur Dimensity 9200, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
12;OnePlus;11;Constructeur;OnePlus;OS;Android 13;799;Écran;6.7'' AMOLED 120Hz;Processeur;Snapdragon;RAM;8Go RAM; Stockage;128Go stockage;Batterie;5000mAh;Le OnePlus 11 est un smartphone OnePlus fonctionnant sous Android 13, proposé à environ CHF 799. Il dispose d'un écran 6.7'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 8Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
13;Samsung;Galaxy S23 Ultra;Constructeur;Samsung;OS;Android 13;1199;Écran;;Processeur;Snapdragon;RAM;8Go RAM; Stockage;256Go stockage;Batterie;5000mAh;Le Samsung Galaxy S23 Ultra est un smartphone Samsung fonctionnant sous Android 13, proposé à environ CHF 1199. Il dispose d'un écran nan, alimenté par un processeur Snapdragon, avec 8Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
14;Apple;iPhone 14 Pro Max;Constructeur;Apple;OS;iOS 16;1299;Écran;6.7'' OLED 120Hz;Processeur;A16 Bionic;RAM;6Go RAM; Stockage;128Go stockage;Batterie;4323mAh;Le Apple iPhone 14 Pro Max est un smartphone Apple fonctionnant sous iOS 16, proposé à environ CHF 1299. Il dispose d'un écran 6.7'' OLED 120Hz, alimenté par un processeur A16 Bionic, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4323mAh assure une autonomie prolongée.
15;Google;Pixel 7 Pro;Constructeur;Google;OS;Android 13;899;Écran;6.7'' OLED 120Hz;Processeur;Tensor G2;RAM;12Go RAM; Stockage;128Go stockage;Batterie;5000mAh;Le Google Pixel 7 Pro est un smartphone Google fonctionnant sous Android 13, proposé à environ CHF 899. Il dispose d'un écran 6.7'' OLED 120Hz, alimenté par un processeur Tensor G2, avec 12Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
16;Xiaomi;12 Pro;Constructeur;Xiaomi;OS;Android 12;699;Écran;6.7'' AMOLED 120Hz;Processeur;Snapdragon;RAM;8Go RAM; Stockage;128Go stockage;Batterie;4600mAh;Le Xiaomi 12 Pro est un smartphone Xiaomi fonctionnant sous Android 12, proposé à environ CHF 699. Il dispose d'un écran 6.7'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 8Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4600mAh assure une autonomie prolongée.
17;Samsung;Galaxy A54;Constructeur;Samsung;OS;Android 13;499;Écran;6.4'' OLED 120Hz;Processeur;Exynos 1380;RAM;8Go RAM; Stockage;128Go stockage;Batterie;5000mAh;Le Samsung Galaxy A54 est un smartphone Samsung fonctionnant sous Android 13, proposé à environ CHF 499. Il dispose d'un écran 6.4'' OLED 120Hz, alimenté par un processeur Exynos 1380, avec 8Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
18;Apple;iPhone SE (2024);Constructeur;Apple;OS;iOS 17;649;Écran;;Processeur;A17 Bionic;RAM;4Go RAM; Stockage;64Go stockage;Batterie;2018mAh;Le Apple iPhone SE (2024) est un smartphone Apple fonctionnant sous iOS 17, proposé à environ CHF 649. Il dispose d'un écran nan, alimenté par un processeur A17 Bionic, avec 4Go RAM de mémoire vive et 64Go stockage de stockage interne. Sa batterie de 2018mAh assure une autonomie prolongée.
19;Google;Pixel 6a;Constructeur;Google;OS;Android 12;499;Écran;6.1'' OLED 60Hz;Processeur;;RAM;6Go RAM; Stockage;128Go stockage;Batterie;4410mAh;Le Google Pixel 6a est un smartphone Google fonctionnant sous Android 12, proposé à environ CHF 499. Il dispose d'un écran 6.1'' OLED 60Hz, alimenté par un processeur nan, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4410mAh assure une autonomie prolongée.
20;Xiaomi;Redmi Note 12 Pro;Constructeur;Xiaomi;OS;Android 12;399;Écran;6.67'' AMOLED 120Hz;Processeur;Dimensity 1080;RAM;8Go RAM; Stockage;256Go stockage;Batterie;5000mAh;Le Xiaomi Redmi Note 12 Pro est un smartphone Xiaomi fonctionnant sous Android 12, proposé à environ CHF 399. Il dispose d'un écran 6.67'' AMOLED 120Hz, alimenté par un processeur Dimensity 1080, avec 8Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
21;OnePlus;Nord 2T;Constructeur;OnePlus;OS;Android 12;449;Écran;6.43'' AMOLED 90Hz;Processeur;Dimensity 1300;RAM;8Go RAM; Stockage;128Go stockage;Batterie;4500mAh;Le OnePlus Nord 2T est un smartphone OnePlus fonctionnant sous Android 12, proposé à environ CHF 449. Il dispose d'un écran 6.43'' AMOLED 90Hz, alimenté par un processeur Dimensity 1300, avec 8Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4500mAh assure une autonomie prolongée.
22;Samsung;Galaxy Z Flip5;Constructeur;Samsung;OS;Android 14;1099;Écran;6.7'' AMOLED 120Hz;Processeur;Snapdragon;RAM;8Go RAM; Stockage;128Go stockage;Batterie;3700mAh;Le Samsung Galaxy Z Flip5 est un smartphone Samsung fonctionnant sous Android 14, proposé à environ CHF 1099. Il dispose d'un écran 6.7'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 8Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 3700mAh assure une autonomie prolongée.
23;Huawei;Mate 50 Pro;Constructeur;Huawei;OS;EMUI 13;1099;Écran;6.74'' OLED 120Hz;Processeur;Snapdragon;RAM;12Go RAM; Stockage;256Go stockage;Batterie;4700mAh;Le Huawei Mate 50 Pro est un smartphone Huawei fonctionnant sous EMUI 13, proposé à environ CHF 1099. Il dispose d'un écran 6.74'' OLED 120Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 4700mAh assure une autonomie prolongée.
24;HONOR;Magic Vs;Constructeur;HONOR;OS;Android 13;1049;Écran;7.9'' OLED 90Hz;Processeur;Snapdragon;RAM;12Go RAM; Stockage;512Go stockage;Batterie;5000mAh;Le HONOR Magic Vs est un smartphone HONOR fonctionnant sous Android 13, proposé à environ CHF 1049. Il dispose d'un écran 7.9'' OLED 90Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 512Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
25;Samsung;Galaxy M54;Constructeur;Samsung;OS;Android 13;379;Écran;6.6'' LCD 120Hz;Processeur;Exynos 1380;RAM;6Go RAM; Stockage;128Go stockage;Batterie;5000mAh;Le Samsung Galaxy M54 est un smartphone Samsung fonctionnant sous Android 13, proposé à environ CHF 379. Il dispose d'un écran 6.6'' LCD 120Hz, alimenté par un processeur Exynos 1380, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
26;Apple;iPhone 13;Constructeur;Apple;OS;iOS 16;799;Écran;6.1'' OLED 60Hz;Processeur;A15 Bionic;RAM;4Go RAM; Stockage;128Go stockage;Batterie;3240mAh;Le Apple iPhone 13 est un smartphone Apple fonctionnant sous iOS 16, proposé à environ CHF 799. Il dispose d'un écran 6.1'' OLED 60Hz, alimenté par un processeur A15 Bionic, avec 4Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 3240mAh assure une autonomie prolongée.
